Time, z_position, z_position_rk_tendency, y_position, y_position_rk_tendency, x_position, x_position_rk_tendency, volume, qr, nr, vterm, prevp, nrevp
    8.70,      2987.3206116445,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009981623,     55809.8108043142,         1.4529599531,        -0.0000001966,      -458.1720388951
    8.80,      2987.1752876447,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009981426,     55764.0336732290,         1.4532399771,        -0.0000001964,      -457.7713040313
    8.90,      2987.0299356376,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009981230,     55718.2965741344,         1.4535200485,        -0.0000001961,      -457.3709841298
    9.00,      2986.8845556187,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009981034,     55672.5994655956,         1.4538001674,        -0.0000001959,      -456.9710785790
    9.10,      2986.7391475832,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009980839,     55626.9423062383,         1.4540803339,        -0.0000001956,      -456.5715867691
    9.20,      2986.5937115262,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009980643,     55581.3250547495,         1.4543605478,        -0.0000001953,      -456.1725080914
    9.30,      2986.4482474431,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009980448,     55535.7476698764,         1.4546408094,        -0.0000001951,      -455.7738419386
    9.40,      2986.3027553291,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009980253,     55490.2101104274,         1.4549211184,        -0.0000001948,      -455.3755877050
    9.50,      2986.1572351794,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009980059,     55444.7123352708,         1.4552014751,        -0.0000001946,      -454.9777447862
    9.60,      2986.0116869893,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009979865,     55399.2543033355,         1.4554818794,        -0.0000001943,      -454.5803125790
